inquiry_id,customer_message,brand_reply,intent,should_escalate,escalation_reason
727910,@18413 @115858 @AppleSupport je comprend rien tout a été supprimé et il s’allume plus super askip c’est le disque dur qui a un défaut de base,@294380 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,,,
1756322,@115858 I️ 😡 am not playing. If you don’t fix this I️ 😡 issue ASAP I’ll be a proud #note8 owner before you know it and I’ll never look back,@528843 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,,,
2366219,@AppleSupport What the heck,"@130081 Understood. We have released a newer iOS version which will help with the issue you're experiencing. Let's make sure you have a recent backup, then update to 11.1.1 as listed here: https://t.co/ahjigcvFRG",,,
1774920,Hey @AppleSupport just got a new Apple TV. It’s struggling to complete the os update. Assistance?,@155404 We have an excellent team to help out with your Apple TV. Here's the contact link: https://t.co/IBIY3vMgPj,,,
2476254,@AppleSupport Thank you. I have the newest update 11.1.1,"@707857 Thank you. Do you notice this issue with both music you're streaming over Wi-Fi and music downloaded for offline listening? 

Also, if you have another device using Apple Music does it encounter the same issue?",,,
1175548,@AppleSupport thanks! 😊. This one. Read&amp;Write Insta photo settings but says it can’t save to library when posting https://t.co/IW1OxP0YAH,"@396528 Let's move into Direct Message so we can get more information, here: https://t.co/GDrqU22YpT",,,
2832032,@115858 @AppleSupport so highly disappointed in your new update because of how slow it has made my phone and for the glitching that occurs every time I open an app 🙄😤,@788496 We want to know more about what you're experiencing so we can help. Which iOS are you currently on? Check here: Settings &gt; General &gt; About &gt; Version. Can you give us some specific examples of what you're seeing with your iPhone? Meet us in DM with those specifics. https://t.co/GDrqU22YpT,,,
1583834,@AppleSupport It’s quite late. I’ve got support through the app of yours.🤣✌️✌️,"@487415 Great! We're glad to hear it. If you need anything else, please don't hesitate to let us know. We hope you have a great day.",,,
1213471,@AppleSupport I am under “all inboxes” when it occurs. I’ve tried quitting the app &amp; powering down multiple times and that doesn’t work either.,@404812 Can you let us know which version of iOS 11 you're running? You can check by tapping on Settings &gt; General &gt; About.,,,
2583236,"Trying to set up 2FA on laptop and keep getting this error, what gives @AppleSupport ? https://t.co/jgDZj1irRT",@732055 We are here to help. Have you requested more than one code?,,,
2358728,Okay @115858 fix your shit this “I️” thing is getting annoying,"@681233 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to the latest version iOS 11.1.1. For more info, check out: https://t.co/xXaXeeSRt9",,,
433073,@AppleSupport Thank you so much 🤙🏼,@218001 You're most welcome.,,,
2834329,@AppleSupport Bought iPhone 6s but battery is not working properly.kindly help.,@788994 We'd like to look into any issues you're having. Please DM us more about what's occurred with your battery. https://t.co/GDrqU22YpT,,,
1761191,@115858 I’m getting tired of having an A?phone. Can I have my iPhone back now? Thanks :) #Apple #iPhone  #whatishappening #update #please,@530011 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,
246317,"@AppleSupport the Arabic font in ios11 is not user friendly, please go back to previous font. Below is the new font 👇 https://t.co/WQEvsol4Yr",@174514 We can help get you to the right place to make your suggestion. Provide your feedback here:  https://t.co/eTPVYVFyd8,,,
2771852,"@115858 @AppleSupport had submitted my iphone 7plus on 6th nov. service centre promised me to give a new iphone after checking the fault. now they say that they dont have stock. it is more than 15 days. Job no SOBO61117402575
pls resolve the issue asap.",@774802 We know how important it is to have your iPhone back to you. Let's chat over in Direct Message so we can gather some additional details to look into this with you. https://t.co/GDrqU22YpT,,,
2055668,iOS 11 is draining my battery like no other wtf @115858,"@607941 We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist. https://t.co/GDrqU22YpT",,,
939138,"@AppleSupport Yes, that’s right.","@315733 To disable the keyboard shortcut, open the Settings app and disable Shortcuts under Settings &gt; General &gt; Keyboard.",,,
2277688,"@AppleSupport I'm using iPhone 6s, running iOS version 11.1.1(15B150)",@662345 Got it. Are you using the EarPods that came with your iPhone? Do you have another set of headphones you can use with the iPhone in order to determine where the issue might be?,,,
2412410,"When you’re trying to listen to music on your iPhone and your phone says your @115858 headphones are not an accessory supported by the device...excuse me, what?","@693533 Help is here! Since experiencing this issue, have you restarted your device to see if the issue persists? What iOS version is currently installed? To find out, navigate to: Settings &gt; General &gt; About.",,,
