inquiry_id,customer_message,brand_reply
1702005,@AppleSupport I️ can connect just fine but my phone won’t download anything or load any apps and my WiFi is totally fine because my other devices work,@516039 Understood.  Check here under step 6: https://t.co/2WRbhvw0dM Let us know if you can connect after that.
2438519,So @AppleSupport my speaker just gon stop working everytime y’all have a new update 🤔,@273855 We'd like to help. Tell us what device is this occurring with? What is the operating system version number it's running?
228545,"@AppleSupport look, i just got this iPhone 8 and i would like to ask y’all why is my phone tripping and dying so fast 😐","@170489 We want to make sure your iPhone is there for you when you need it. So we can get started, let's pair up in DM to take a closer look at this. https://t.co/GDrqU22YpT"
2949589,@814571 @AppleSupport please update the published date of Security Update 2017-001.  Unless you have a time machine this date is incorrect and manual downloaders may be confused about whether its the right patch. https://t.co/gutki0WsMH,"@814570 We are seeing todays date at this link: https://t.co/B5dcmAftzp If you are seeing a different date, please reach out in DM. https://t.co/GDrqU22YpT"
292376,@AppleSupport recent update for IPad and IPhone have made it difficult to open certain applications,"@163247 Let us know which apps you're having trouble with, and what happens when you try to open them. We're here for you!"
2772449,"@AppleSupport I did the latest update at that time and it worked well.  The day before your last update, it started dropping again. I updated again last week and it still drops.",@774928 Please DM us the software version you’re using so we can better assist you. https://t.co/GDrqU22YpT
122318,@AppleSupport @115858 why isn’t my low power mode working 🤔🧐help?!... https://t.co/AutkdiI4n6,@143274 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT
2220329,"@AppleSupport help me.. my iPhone 5s is freezing on homescreen, can't adjust audio, after update to iOS 11.0.3. please fix it asap",@648515 We'd love to help. Could you Direct Message us and let us know what country you're located in? https://t.co/GDrqU22YpT
460861,"Another @115858 #ios11 bug - search textbox in Settings disappears, and the little “x” (to clear the input) follows as you scroll. This release is a QA disaster. https://t.co/dApuyRo3vp","@224486 Let’s investigate this together. Use the link below to join us in DM, and we’ll get started. https://t.co/GDrqU22YpT"
1534985,@AppleSupport ETA on iPhone activation services? Been trying to activate an X for 90+ minutes now.,@476002 Follow the steps listed her to activate iPhone using iTunes: https://t.co/ywHIZGN4Ac Let us know if anything changes.
1715237,I’ve been bitten by the @115858 bug 🍏 🐛 😔 I️ I️ I️,@519472 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
1712428,"If all these boxed question marks and exclamation points are something new, it’s dumb af, everyone hates it, and no one gets it @115858",@518681 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz
1577409,"@AppleSupport Hi , i have an iPhone 8+ and i have a problem, at the begining of every videos i have a weird sound .(like stuttering)",@485879 We're here for you. Which version of the iOS are you running? You can check from Settings &gt; general &gt; About.
2143374,@AppleSupport This glitch with the letter following H is affecting my ability to work on the road. Unacceptable.,@630167 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
827904,@AppleSupport help I updated to iOS 11 and can’t email videos nor text videos to anything other than iPhone.,@317221 We'd like to help. DM us which iOS 11 version you're on and we'll get started. https://t.co/GDrqU22YpT
2286466,"@AppleSupport That worked, thanks!",@468517 You're very welcome! Let us know if you have any other questions; we'd be happy to help. Have a great rest of your night!
