inquiry_id,customer_message,brand_reply,intent,should_escalate,escalation_reason,drafted_reply,helpfulness,relevance,empathy_tone,rationale
727910,@18413 @115858 @AppleSupport je comprend rien tout a été supprimé et il s’allume plus super askip c’est le disque dur qui a un défaut de base,@294380 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,hardware_issue,True,Physical repair required,"We're sorry to hear your device won't turn on. Since this appears to be a hardware issue, please visit an Apple Store or authorized service provider for a physical inspection. For account-specific help, please DM us. We hope to get you back up and running soon!",3,4,2,"The candidate reply is relevant and provides a safe, appropriate next step (physical inspection) for a hardware issue. However, it fails significantly on empathy and tone. The customer is clearly frustrated and writing in French, but the reply is in English, which does not address the language barrier or the customer's emotional state. It lacks the warm, professional AppleSupport tone required, appearing somewhat robotic and dismissive of the customer's distress."
1756322,@115858 I️ 😡 am not playing. If you don’t fix this I️ 😡 issue ASAP I’ll be a proud #note8 owner before you know it and I’ll never look back,@528843 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,general_inquiry,False,None,"We’re sorry to hear about your frustration. Please try restarting your device and ensuring your software is up to date. If the issue persists, we recommend contacting Apple Support directly for personalized assistance. You can reach them via the Apple Support app or website. We appreciate your patience and are here to help.",2,2,3,"The candidate reply is poor because it ignores the specific context provided in the historical reply (a workaround link) and the customer's specific threat (switching to a Samsung Note 8). It provides generic troubleshooting advice (restart, update) which is likely unhelpful if the issue is a known bug requiring a specific workaround or software fix. It also fails to address the customer's emotional state or the specific product threat effectively, making it feel like a generic bot response rather than a helpful support interaction."
2366219,@AppleSupport What the heck,"@130081 Understood. We have released a newer iOS version which will help with the issue you're experiencing. Let's make sure you have a recent backup, then update to 11.1.1 as listed here: https://t.co/ahjigcvFRG",general_inquiry,False,None,"We're sorry to hear you're having trouble. Could you share a bit more detail about what's happening? For account-specific issues, please DM us or contact Apple Support directly. We're here to help!",2,3,4,"The candidate reply is polite and empathetic, but it fails to leverage the critical context provided in the historical reply. The history indicates a specific technical issue (iOS update to 11.1.1) was already identified and a solution offered. By asking for 'more detail' and suggesting a DM, the candidate ignores the known solution, potentially frustrating the customer who is likely reacting to the previous interaction or the issue itself. It is safer than ignoring the user, but less helpful than acknowledging the previous context or reiterating the specific fix."
1774920,Hey @AppleSupport just got a new Apple TV. It’s struggling to complete the os update. Assistance?,@155404 We have an excellent team to help out with your Apple TV. Here's the contact link: https://t.co/IBIY3vMgPj,software_bug,False,None,"Sorry to hear your new Apple TV is having trouble updating. Please ensure it’s connected to Wi-Fi and plugged into power, then try restarting the device. If it still fails, go to Settings > General > Reset > Reset All Settings. If the issue persists, please DM us for further assistance.",4,5,5,"The candidate reply is highly relevant and empathetic, offering specific, safe troubleshooting steps (Wi-Fi, power, restart, reset settings) that are appropriate for an OS update issue. It provides a clear escalation path (DM) if the steps fail. While the historical reply used a direct contact link, the candidate's approach of providing immediate self-service steps before escalating is often more helpful and efficient for common technical issues, making it a strong response."
2476254,@AppleSupport Thank you. I have the newest update 11.1.1,"@707857 Thank you. Do you notice this issue with both music you're streaming over Wi-Fi and music downloaded for offline listening? 

Also, if you have another device using Apple Music does it encounter the same issue?",general_inquiry,False,None,"You're welcome! It's great to hear you're on the latest update. If you're still experiencing any issues, please let us know the specific details. For account-specific help, feel free to send us a DM. We're here to assist you!",2,2,4,"The candidate reply is polite and acknowledges the user's update status, but it fails to address the specific troubleshooting context established in the historical reply. The previous agent asked diagnostic questions about Wi-Fi vs. offline music and other devices, which the customer did not answer. Instead of following up on those specific questions or asking for the missing information, the candidate gives a generic 'let us know if you have issues' response, which is unhelpful for resolving the specific bug. It also introduces an unnecessary suggestion to DM for account help, which may not be relevant to a technical playback issue."
1175548,@AppleSupport thanks! 😊. This one. Read&amp;Write Insta photo settings but says it can’t save to library when posting https://t.co/IW1OxP0YAH,"@396528 Let's move into Direct Message so we can get more information, here: https://t.co/GDrqU22YpT",software_bug,False,None,"Thanks for the details! 😊 Please try restarting your device and ensuring the app has full photo permissions in Settings. If the issue persists, check for app updates. For account-specific troubleshooting, feel free to DM us or contact Apple Support directly. We're here to help!",2,3,4,"The candidate reply is polite and empathetic, but it fails to address the specific context established in the historical reply. The previous agent explicitly invited the user to move to Direct Messages (DMs) to gather more information, implying that public troubleshooting is insufficient or that the issue requires private handling. By suggesting generic public troubleshooting steps (restart, permissions) and then offering to DM, the candidate ignores the established workflow and potentially delays resolution. Additionally, the specific error 'can't save to library' often relates to specific iOS privacy settings or app bugs that might require the deeper investigation promised in the DM, making the generic advice less helpful."
2832032,@115858 @AppleSupport so highly disappointed in your new update because of how slow it has made my phone and for the glitching that occurs every time I open an app 🙄😤,@788496 We want to know more about what you're experiencing so we can help. Which iOS are you currently on? Check here: Settings &gt; General &gt; About &gt; Version. Can you give us some specific examples of what you're seeing with your iPhone? Meet us in DM with those specifics. https://t.co/GDrqU22YpT,software_bug,False,None,"We're sorry to hear about the performance issues and app glitches you're experiencing. Please try restarting your device and ensuring your software is up to date. If the problem persists, we recommend contacting Apple Support directly for personalized assistance. You can reach them via the Apple Support app or website. Thank you for your patience.",2,3,3,"The candidate reply is generic and fails to follow the established workflow seen in the historical reply, which specifically asked for the iOS version and specific examples to diagnose the issue. Instead of gathering necessary diagnostic information, it immediately suggests a restart and escalates to external support, which is premature and less helpful for a social media support context where the goal is to triage the issue first. The tone is polite but lacks the specific engagement shown in the historical example."
1583834,@AppleSupport It’s quite late. I’ve got support through the app of yours.🤣✌️✌️,"@487415 Great! We're glad to hear it. If you need anything else, please don't hesitate to let us know. We hope you have a great day.",general_inquiry,False,None,"Thanks for the update! We're glad you were able to connect with our support team. If you need any further assistance or have questions about your session, feel free to reach out. Have a great night! 🌙",5,5,5,"The candidate reply is excellent. It acknowledges the specific context provided by the customer (that it is late) by wishing them a 'great night' instead of a generic 'great day' like the historical reply. It maintains a warm, professional tone and confirms the resolution without adding unnecessary information."
1213471,@AppleSupport I am under “all inboxes” when it occurs. I’ve tried quitting the app &amp; powering down multiple times and that doesn’t work either.,@404812 Can you let us know which version of iOS 11 you're running? You can check by tapping on Settings &gt; General &gt; About.,software_bug,False,None,"We're sorry to hear you're experiencing this issue. Since restarting hasn't helped, please try updating your device to the latest iOS version and ensure the Mail app is up to date. If the problem persists, we'd be happy to assist further. Feel free to DM us with your device model and any error messages for personalized support.",3,4,4,"The candidate reply is empathetic and relevant, acknowledging the user's failed troubleshooting steps. However, it is less helpful than the historical context suggests because it ignores the specific request for the iOS version (which was already asked in the previous turn) and instead suggests a generic update. While safe, it fails to leverage the specific diagnostic step (checking the version) that was already initiated, potentially causing confusion or redundancy. It does not invent facts, but it misses the opportunity to directly follow up on the previous question or provide a more specific next step based on the 'All Inboxes' context."
2583236,"Trying to set up 2FA on laptop and keep getting this error, what gives @AppleSupport ? https://t.co/jgDZj1irRT",@732055 We are here to help. Have you requested more than one code?,account_access,False,None,"Sorry to hear you're hitting a snag with 2FA setup. Please ensure your Mac is updated to the latest macOS version and that your Apple ID password is correct. If the error persists, try signing out and back in. For account-specific troubleshooting, please DM us your details so we can assist you further.",3,4,4,"The candidate reply is professional and empathetic, addressing the user's frustration with 2FA setup. It provides standard troubleshooting steps (updating macOS, checking password, re-logging in) which are generally relevant. However, it fails to address the specific context provided in the historical reply (whether multiple codes were requested), which might be the actual cause of the error. Additionally, asking the user to DM account details is a security risk and generally against support best practices (account details should not be shared via DM), which lowers the helpfulness score despite the polite tone."
