customer_message,candidate_reply,human_helpfulness,human_relevance,human_empathy_tone,llm_helpfulness,llm_relevance,llm_empathy_tone
iOS 11 is draining my battery like no other wtf @115858,"We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist.",3,4,3,2,2,3
@AppleSupport what the heck,"Understood. We have released a newer iOS version which will help with the issue you're experiencing. Let's make sure you have a recent backup, then update to 11.1.1.",2,2,3,1,1,2
Hey @AppleSupport just got a new Apple TV. It's struggling to complete the os update. Assistance?,We have an excellent team to help out with your Apple TV. Here's the contact link.,3,4,3,2,2,2
@AppleSupport Bought iPhone 6s but battery is not working properly.kindly help.,We'd like to look into any issues you're having. Please DM us more about what's occurred with your battery.,4,4,4,2,4,3
@AppleSupport I am under 'all inboxes' when it occurs. I've tried quitting the app & powering down multiple times and that doesn't work either.,Can you let us know which version of iOS 11 you're running? You can check by tapping on Settings > General > About.,4,4,3,1,1,2
"Trying to set up 2FA on laptop and keep getting this error, what gives @AppleSupport?",We are here to help. Have you requested more than one code?,3,3,3,2,2,4
Okay @115858 fix your shit this 'I' thing is getting annoying,"An update has been released to assist with this issue. If you haven't yet, please back up your device and update it to the latest version iOS 11.1.1.",5,5,3,3,3,2
@AppleSupport Thank you so much,You're most welcome.,5,5,5,4,5,5
@115858 I'm getting tired of having an A?phone. Can I have my iPhone back now? Thanks :),Here's what you can do to work around the issue until it's fixed in a future software update.,3,3,3,1,1,1
"@AppleSupport the Arabic font in ios11 is not user friendly, please go back to previous font.",We can help get you to the right place to make your suggestion. Provide your feedback here.,4,4,4,3,3,2
@AppleSupport is it possible to transfer purchases from 1 Apple is to another?,"Content is linked to the purchasing Apple ID, however you can look into Family Sharing here.",5,5,4,4,5,3
@AppleSupport I can't click here to work it.,"Go to Settings > your name > iCloud > iCloud Backup and see if you're able turn it on there. Also, what version of iOS are you currently running?",4,3,3,3,2,2
@AppleSupport I-pad air 1,We've received your DM and will continue to work with you there.,3,3,3,1,1,1
@AppleSupport can y'all fix this I,Here's what you can do to work around the issue until it's fixed in a future software update.,4,4,3,3,2,2
"@AppleSupport just updated ios11.0.2 on my iPhone 7. Nothing works, phone hangs, stops working, shuts off, app freezes.",We'd like to help. Let's meet up in DM to investigate.,3,4,3,1,1,2
@AppleSupport why does my phone keep turning my I's into weird characters?,Let's take a closer look into this together. Reach out to us in a DM to get started.,3,4,4,1,1,3
iOS update made my phone freeze many times. You should fix that.,"We'd love to look into this with you! To start, can you DM us what iOS version and model iPhone we're working with?",4,4,4,4,5,4
"@AppleSupport iPhone 8 Plus, sorry if I replied so late",No problem. Let's continue in DM.,3,3,4,1,1,2
@AppleSupport my iPhone 7plus won't let me install the latest update!,"Try out the steps in this article. If this doesn't resolve it, let us know via DM.",5,5,4,2,3,3
@AppleSupport I love you guys but i swear to god you need to fix your mail app ASAP - it doesn't let me mark an email as read,"We'd like to see how we can help. To start, which device are you experiencing this on, and which software version is it running?",4,4,4,4,4,4
